time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipAccumulation
2018-09-20 00:00:00,Overcast,cloudy,0.0276,0.06,rain,18.26,18.26,14.94,0.81,1014.5,5.55,11.12,229,0.93,0,16.093,291.0,
2018-09-20 01:00:00,Overcast,cloudy,0.0262,0.06,rain,17.95,17.95,14.85,0.82,1014.5,5.17,10.22,214,0.9,0,16.093,292.2,
2018-09-20 02:00:00,Overcast,cloudy,0.0254,0.07,rain,18.0,18.01,15.01,0.83,1014.2,5.45,10.79,214,0.92,0,16.093,292.2,
2018-09-20 03:00:00,Overcast,cloudy,0.0253,0.07,rain,18.12,18.16,15.18,0.83,1013.8,5.98,11.83,216,0.96,0,16.093,292.0,
2018-09-20 04:00:00,Overcast,cloudy,0.025,0.07,rain,18.25,18.3,15.29,0.83,1013.4,6.34,12.59,217,0.98,0,16.093,292.0,
2018-09-20 05:00:00,Overcast,cloudy,0.0175,0.06,rain,18.2,18.25,15.25,0.83,1013.2,6.48,12.8,217,0.98,0,16.093,292.4,
2018-09-20 06:00:00,Overcast,cloudy,0.0094,0.06,rain,18.1,18.14,15.16,0.83,1013.0,6.49,12.72,216,0.98,0,16.093,292.7,
2018-09-20 07:00:00,Overcast,cloudy,0.0069,0.06,rain,18.1,18.13,15.12,0.83,1012.7,6.15,12.31,213,0.97,0,16.093,293.5,
2018-09-20 08:00:00,Overcast,cloudy,0.0,0.0,,18.17,18.19,15.03,0.82,1012.7,6.41,12.22,214,0.98,0,16.093,293.7,
2018-09-20 09:00:00,Overcast,cloudy,0.0072,0.08,rain,18.46,18.46,15.02,0.8,1012.6,6.79,12.08,217,0.98,1,16.093,293.8,
2018-09-20 10:00:00,Overcast,cloudy,0.0147,0.08,rain,18.7,18.7,14.88,0.79,1012.4,7.18,12.12,219,0.99,2,16.093,293.5,
2018-09-20 11:00:00,Overcast,cloudy,0.0189,0.08,rain,18.86,18.86,14.8,0.77,1012.1,7.45,12.09,217,0.99,2,16.093,292.4,
2018-09-20 12:00:00,Overcast,cloudy,0.022,0.07,rain,18.98,18.98,14.56,0.76,1011.7,7.77,12.22,216,0.99,3,16.093,290.8,
2018-09-20 13:00:00,Overcast,cloudy,0.0226,0.06,rain,19.45,19.45,14.49,0.73,1011.3,7.67,12.93,207,0.99,3,16.093,285.0,
2018-09-20 14:00:00,Overcast,cloudy,0.0141,0.05,rain,19.89,19.89,14.19,0.7,1010.6,8.33,14.14,209,0.99,3,16.093,284.3,
2018-09-20 15:00:00,Overcast,cloudy,0.0,0.0,,20.34,20.34,13.83,0.66,1009.8,9.18,15.74,212,0.99,2,16.093,284.4,
2018-09-20 16:00:00,Overcast,cloudy,0.0,0.0,,20.46,20.46,13.79,0.66,1008.9,9.74,16.94,215,0.99,1,16.093,284.6,
2018-09-20 17:00:00,Overcast,cloudy,0.0,0.0,,20.73,20.73,13.83,0.65,1007.9,9.88,17.39,215,0.98,1,16.093,284.6,
2018-09-20 18:00:00,Windy and Overcast,wind,0.0,0.0,,20.52,20.52,13.72,0.65,1007.0,9.85,17.47,214,0.97,0,16.093,284.7,
2018-09-20 19:00:00,Overcast,cloudy,0.0102,0.07,rain,20.26,20.26,13.48,0.65,1006.1,8.91,16.28,211,0.96,0,16.093,288.3,
2018-09-20 20:00:00,Overcast,cloudy,0.0084,0.09,rain,20.01,20.01,13.49,0.66,1005.1,9.43,16.8,211,0.95,0,16.093,288.5,
2018-09-20 21:00:00,Windy and Overcast,wind,0.0076,0.11,rain,19.8,19.8,13.6,0.67,1004.1,10.07,17.74,213,0.97,0,16.093,288.4,
2018-09-20 22:00:00,Windy and Overcast,wind,0.0249,0.17,rain,19.54,19.54,13.79,0.69,1002.9,10.58,18.81,213,0.99,0,16.093,288.4,
2018-09-20 23:00:00,Possible Drizzle and Windy,rain,0.2339,0.42,rain,19.13,19.13,14.69,0.75,1001.2,11.38,20.16,210,0.98,0,16.093,288.1,
2018-09-21 00:00:00,Light Rain and Dangerously Windy,rain,0.8658,0.66,rain,18.56,18.64,15.63,0.83,999.6,12.15,21.86,207,0.99,0,16.093,287.9,
2018-09-21 01:00:00,Light Rain and Dangerously Windy,rain,1.4208,0.65,rain,18.75,18.87,15.98,0.84,998.0,11.41,23.37,195,0.99,0,5.015,291.1,
2018-09-21 02:00:00,Possible Light Rain and Dangerously Windy,rain,1.0686,0.55,rain,17.59,17.61,14.93,0.84,998.0,10.88,21.93,223,0.99,0,4.803,294.9,
2018-09-21 03:00:00,Possible Light Rain and Windy,rain,0.5739,0.42,rain,16.02,16.02,12.81,0.81,998.7,10.12,19.31,260,0.99,0,7.419,299.7,
2018-09-21 04:00:00,Possible Drizzle,rain,0.3949,0.32,rain,14.6,14.6,10.76,0.78,999.9,9.49,17.05,253,0.95,0,9.911,304.1,
2018-09-21 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2223,0.25,rain,13.11,13.11,8.9,0.76,1001.5,8.97,15.99,150,0.85,0,11.423,306.9,
2018-09-21 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0623,0.15,rain,11.72,11.72,7.27,0.74,1003.5,8.39,15.37,344,0.7,0,12.931,309.2,
2018-09-21 07:00:00,Partly Cloudy,partly-cloudy-day,0.009,0.05,rain,11.54,11.54,6.69,0.72,1005.2,6.01,12.33,271,0.54,0,16.093,311.2,
2018-09-21 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,11.41,11.41,6.0,0.69,1006.4,6.31,12.36,345,0.34,0,16.093,314.7,
2018-09-21 09:00:00,Clear,clear-day,0.0,0.0,,12.12,12.12,5.87,0.66,1006.8,7.19,13.2,157,0.15,1,16.093,318.4,
2018-09-21 10:00:00,Clear,clear-day,0.0,0.0,,12.97,12.97,5.87,0.62,1007.7,7.87,14.07,267,0.02,2,16.093,321.4,
2018-09-21 11:00:00,Clear,clear-day,0.0,0.0,,13.7,13.7,5.74,0.59,1008.4,8.37,14.9,269,0.03,3,16.093,323.3,
2018-09-21 12:00:00,Clear,clear-day,0.0,0.0,,14.43,14.43,5.46,0.55,1008.9,8.79,15.64,269,0.02,3,16.093,324.2,
2018-09-21 13:00:00,Clear,clear-day,0.0,0.0,,15.98,15.98,4.44,0.46,1009.0,8.37,15.38,247,0.05,4,16.093,324.4,
2018-09-21 14:00:00,Clear,clear-day,0.0,0.0,,16.31,16.31,4.63,0.46,1009.6,8.81,15.74,258,0.22,3,16.093,323.3,
2018-09-21 15:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,16.41,16.41,5.23,0.48,1010.3,9.53,16.01,264,0.44,2,16.093,321.3,
2018-09-21 16:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,15.8,15.8,5.67,0.51,1011.0,9.8,15.92,264,0.59,1,16.093,319.1,
2018-09-21 17:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,15.9,15.9,5.68,0.51,1011.8,9.13,15.04,205,0.57,1,16.093,316.9,
2018-09-21 18:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,15.58,15.58,5.33,0.51,1013.4,8.12,13.91,328,0.45,0,16.093,314.5,
2018-09-21 19:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,15.14,15.14,5.36,0.52,1014.7,6.34,11.04,268,0.33,0,16.093,314.2,
2018-09-21 20:00:00,Clear,clear-night,0.0,0.0,,14.57,14.57,5.54,0.55,1015.7,5.75,10.22,265,0.22,0,16.093,311.1,
2018-09-21 21:00:00,Clear,clear-night,0.0,0.0,,13.99,13.99,5.89,0.58,1016.2,5.52,9.76,265,0.11,0,16.093,307.5,
2018-09-21 22:00:00,Clear,clear-night,0.0,0.0,,13.5,13.5,6.31,0.62,1017.1,5.28,9.48,265,0.06,0,16.093,304.1,
2018-09-21 23:00:00,Clear,clear-night,0.0,0.0,,13.13,13.13,6.72,0.65,1017.7,4.99,9.4,300,0.09,0,16.093,301.2,
2018-09-22 00:00:00,Clear,clear-night,0.0,0.0,,12.83,12.83,6.97,0.68,1018.2,4.75,9.51,221,0.18,0,16.093,298.5,
2018-09-22 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,12.29,12.29,7.77,0.74,1018.5,4.05,9.04,240,0.32,0,16.093,296.7,
2018-09-22 02:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,12.1,12.1,7.97,0.76,1018.7,3.99,8.96,248,0.54,0,16.093,293.7,
2018-09-22 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,12.0,12.0,8.05,0.77,1019.5,4.05,8.93,247,0.81,0,16.093,290.3,
2018-09-22 04:00:00,Overcast,cloudy,0.0,0.0,,11.93,11.93,8.12,0.78,1019.6,4.14,8.91,246,1.0,0,16.093,287.2,
2018-09-22 05:00:00,Overcast,cloudy,0.0055,0.06,rain,11.92,11.92,8.2,0.78,1019.7,4.14,8.96,247,1.0,0,16.093,284.7,
2018-09-22 06:00:00,Overcast,cloudy,0.02,0.07,rain,11.96,11.96,8.24,0.78,1019.6,4.08,9.03,248,1.0,0,16.093,282.6,
2018-09-22 07:00:00,Overcast,cloudy,0.042,0.1,rain,12.06,12.06,8.34,0.78,1019.6,3.55,7.27,248,1.0,0,9.685,280.0,
2018-09-22 08:00:00,Overcast,cloudy,0.0831,0.16,rain,12.23,12.23,8.28,0.77,1019.7,3.59,7.04,249,0.99,0,8.967,278.9,
2018-09-22 09:00:00,Overcast,cloudy,0.1432,0.23,rain,12.92,12.92,8.47,0.74,1020.0,3.67,6.94,250,1.0,1,9.871,278.4,
2018-09-22 10:00:00,Overcast,cloudy,0.192,0.18,rain,13.5,13.5,8.61,0.72,1020.1,3.68,6.6,250,1.0,2,10.736,277.6,
2018-09-22 11:00:00,Overcast,cloudy,0.1856,0.18,rain,13.88,13.88,8.38,0.69,1020.1,3.52,5.87,251,0.98,2,10.844,276.6,
2018-09-22 12:00:00,Overcast,cloudy,0.1496,0.19,rain,14.06,14.06,8.04,0.67,1020.1,3.22,4.96,249,0.99,3,10.895,275.5,
2018-09-22 13:00:00,Possible Drizzle,rain,0.1273,0.28,rain,12.43,12.43,8.02,0.74,1020.0,1.85,3.16,242,1.0,3,5.321,274.6,
2018-09-22 14:00:00,Possible Drizzle,rain,0.3235,0.38,rain,12.1,12.1,7.92,0.76,1019.3,1.82,3.0,220,0.99,3,4.268,273.4,
2018-09-22 15:00:00,Possible Light Rain,rain,0.8064,0.54,rain,11.71,11.71,7.78,0.77,1018.5,2.06,3.29,188,0.99,2,3.444,272.2,
2018-09-22 16:00:00,Possible Light Rain,rain,1.3159,0.6,rain,11.63,11.63,7.97,0.78,1017.5,2.37,3.79,160,0.98,1,3.424,271.3,
2018-09-22 17:00:00,Possible Light Rain,rain,1.531,0.6,rain,11.69,11.69,8.32,0.8,1016.5,2.7,4.57,140,0.99,1,3.907,270.8,
2018-09-22 18:00:00,Possible Light Rain,rain,1.5379,0.6,rain,11.65,11.65,8.57,0.81,1015.5,3.07,5.55,124,0.99,0,5.145,270.5,
2018-09-22 19:00:00,Possible Light Rain,rain,1.3949,0.61,rain,11.49,11.49,8.88,0.84,1014.9,3.33,6.15,102,0.99,0,16.093,268.9,
2018-09-22 20:00:00,Possible Light Rain,rain,1.0133,0.6,rain,11.63,11.63,9.39,0.86,1014.4,3.63,6.56,90,0.99,0,16.093,269.3,
2018-09-22 21:00:00,Possible Light Rain,rain,0.5734,0.42,rain,11.76,11.76,9.87,0.88,1014.0,3.89,6.8,81,0.99,0,16.093,270.0,
